10000 100000
1 239 F
1 403 F
1 565 F
1 633 F
1 1754 F
1 1805 F
1 2342 F
1 2970 F
1 3558 F
1 3884 I
1 5193 F
1 5343 F
1 6326 F
1 6693 F
1 7480 F
1 7759 F
1 8403 I
1 8573 F
2 420 F
2 1266 F
2 2045 I
2 2339 F
2 2548 F
2 3079 F
2 3527 I
2 3639 F
2 5533 F
2 5989 F
2 6007 F
2 6135 F
2 6691 F
2 7020 F
2 7417 F
2 8690 F
2 9501 F
3 1147 F
3 1432 F
3 2461 F
3 2593 F
3 2668 F
3 2687 F
3 2706 F
3 2715 F
3 2836 F
3 3056 F
3 3163 F
3 3720 F
3 3841 F
3 4234 F
3 5855 F
3 6310 F
3 6379 I
3 6450 F
3 7163 F
3 7428 F
3 7483 F
3 8416 F
3 9112 F
3 9417 F
3 9565 F
3 9822 F
3 9836 F
4 5 F
4 647 F
4 856 F
4 957 F
4 1493 I
4 2091 F
4 2295 F
4 2645 F
4 3045 F
4 3705 F
4 4122 F
4 4305 F
4 5201 F
4 5230 F
4 5235 F
4 5290 F
4 5534 I
4 6056 F
4 6907 F
4 7086 F
4 7399 F
4 7730 F
4 8880 F
5 1051 F
5 1148 F
5 1184 F
5 1509 F
5 2064 F
5 2090 F
5 2870 F
5 3478 F
5 3834 F
5 4560 I
5 5270 F
5 5609 F
5 5780 F
5 6189 F
5 6234 F
5 6302 F
5 7538 F
5 7976 F
5 8022 F
5 8625 F
5 8742 F
5 9147 F
5 9785 F
6 291 F
6 469 F
6 1052 F
6 2115 F
6 2190 I
6 3314 F
6 4447 F
6 4761 F
6 4882 F
6 4996 F
6 5172 F
6 5322 F
6 5430 F
6 7170 F
6 7456 F
6 7469 F
6 7746 F
6 8077 F
6 8204 F
6 8329 F
6 8836 F
6 9391 F
6 9828 F
6 9834 F
7 758 F
7 1080 F
7 1654 F
7 1767 F
7 1935 F
7 2393 F
7 2456 F
7 2923 F
7 2991 F
7 3102 F
7 3202 F
7 3290 F
7 4033 F
7 4694 F
7 4949 F
7 5384 F
7 6790 F
7 6997 F
7 7263 F
7 7976 I
7 8455 F
7 9069 I
7 9575 F
7 9827 F
8 352 F
8 642 F
8 734 F
8 1712 F
8 1866 F
8 2477 F
8 2504 F
8 3112 F
8 3611 F
8 3659 F
8 3921 F
8 4227 F
8 4486 F
8 4751 F
8 6089 F
8 8109 I
8 8176 F
8 8627 F
9 217 F
9 510 F
9 684 F
